Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,SW Jardim Formoso,192.168.15.94,"Routerboar:87:20:4D, Routerboar:87:20:52",,DC Capivari do Sul,,
up,Patch Panel 1 Jardim Formoso,192.168.6.205,80:34:28:4F:CE:43,,DC Capivari do Sul,,
up,Retificador PHB Jardim Formoso,192.168.6.204,IEEERegist:92:55:E3,,DC Capivari do Sul,,
up,CEEE Rancho Velho,192.168.21.254,30:42:40:BE:06:C0,Some Device,CEEE,,UC 72741228
up,CEEE JDF Fase 1,192.168.6.206,,,CEEE,,"Titular: Netpal, 5893775-7"
up,CEEE JDF Fase 3,192.168.6.208,,,CEEE,,"Titular: Netpal, 5893775-7"
up,CEEE JDF Fase 2,192.168.6.207,,,CEEE,,"Titular: Netpal, 5893775-7"
up,CEEE Tapera,192.168.21.78,AC:84:C6:4F:60:5B,,CEEE,,1804923-1
up,CEEE Olhos D' Água,192.168.21.46,ZioncomEle:43:8D:9D,,CEEE,,"Titular: Netpal, 6599802-2, Mora em frente - CLEONI TEREZINHA MARQUES MARQUES"
up,CEEE Butias,192.168.20.198,ZioncomEle:37:15:30,,CEEE,,1005401435
up,CEEE Valim,192.168.20.158,ZioncomEle:37:4A:78,,CEEE,,Sem UC
up,CEEE Pangare,192.168.20.134,ZioncomEle:54:1E:8F,,CEEE,,
up,CEEE FSB,192.168.23.90,ZioncomEle:1A:CF:E3,,CEEE,,"Titular: Netpal, 50007572"
up,CEEE Pantano,192.168.20.174,ZioncomEle:1A:CF:CB,,CEEE,,"Titular: Netpal, 59816406"
up,CEEE BCP Fase 3,192.168.30.148,TP-LINKTEC:E5:E8:0F,,CEEE,,37599275
up,CEEE BCP Fase 1,192.168.30.146,0C:80:63:09:67:C7,,CEEE,,"Titular: Regis Bauermann, 37599275, Denise, 39083004, Isaac, 1006890723, POP TIM, 45609811"
up,CEEE BCP Fase 2,192.168.30.147,70:4F:57:87:25:0D,,CEEE,,3759927-5
up,CEEE Taruma TVR,192.168.24.30,"ZioncomEle:44:2A:A1, A4:63:A1:3D:09:CC",,CEEE,,UC 6676797-1
up,JDF => Rancho Velho,192.168.31.51,UbiquitiNe:C6:EE:38,,JDF,,
up,NETPAL_JDF_PONTE,192.168.22.2,UbiquitiNe:26:F5:53,,JDF,,
up,SW Jardim Formoso,192.168.15.94,"Routerboar:87:20:4D, Routerboar:87:20:52",,JDF,,
up,Rancho Velho => JDF,192.168.31.50,UbiquitiNe:C6:ED:F9,,Rancho Velho,,
up,NETPAL_RANHOVELHO_CASAVELHA,192.168.21.244,UbiquitiNe:E6:33:C0,,Rancho Velho,,
up,NETPAL_RANCHOVELHO_LESTE,192.168.21.245,UbiquitiNe:44:49:8D,,Rancho Velho,,
up,NETPAL_RANCHOVELHO_OESTE,192.168.21.243,UbiquitiNe:68:21:BA,,Rancho Velho,,
up,NETPAL_RANCHOVELHO_NORTE,192.168.21.242,UbiquitiNe:62:81:D0,,Rancho Velho,,
